U_34;I;I_t;U_0
-12;0.2;0.1;5
-35;0.44;0.1;5
-50;0.61;0.1;5
-66;0.78;0.1;5
-77;0.92;0.1;5
-85;1.06;0.1;5
-93;1.21;0.1;5
-98;1.33;0.1;5
-104;1.54;0.1;5
-21;0.11;0.3;0
-55;0.27;0.3;0
-95;0.45;0.3;0
-136;0.63;0.3;0
-176;0.83;0.3;0
-215;1.08;0.3;0
-239;1.31;0.3;0
-248;1.42;0.3;0
-255;1.54;0.3;0
-40;0.13;0.45;-3
-79;0.25;0.45;-3
-133;0.42;0.45;-3
-187;0.59;0.45;-3
-270;0.87;0.45;-3
-310;1.05;0.45;-3
-342;1.24;0.45;-3
-376;1.54;0.45;-3
-58;0.13;0.6;-7
-110;0.25;0.6;-7
-181;0.41;0.6;-7
-254;0.58;0.6;-7
-339;0.79;0.6;-7
-413;1.01;0.6;-7
-457;1.19;0.6;-7
-490;1.38;0.6;-7
-512;1.53;0.6;-7
-76;0.13;0.8;-11
-172;0.3;0.8;-11
-259;0.44;0.8;-11
-351;0.6;0.8;-11
-438;0.77;0.8;-11
-520;0.94;0.8;-11
-602;1.17;0.8;-11
-648;1.37;0.8;-11
-678;1.53;0.8;-11
-92;0.13;0.95;-15
-191;0.27;0.95;-15
-329;0.47;0.95;-15
-437;0.63;0.95;-15
-544;0.81;0.95;-15
-677;1.06;0.95;-15
-718;1.18;0.95;-15
-756;1.31;0.95;-15
-807;1.52;0.95;-15
72;0.13;-0.95;-1
174;0.28;-0.95;-1
327;0.5;-0.95;-1
443;0.68;-0.95;-1
586;0.92;-0.95;-1
648;1.05;-0.95;-1
709;1.22;-0.95;-1
762;1.42;-0.95;-1
779;1.51;-0.95;-1
